freq (Hz),leafValue( getData("out" ?result "noise") "Q0.m" 1 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 2 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 4 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 8 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 16 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 32 ) (A / sqrt(Hz)),leafValue( getData("out" ?result "noise") "Q0.m" 64 ) (A / sqrt(Hz))
1.00000,544.077E-12,767.212E-12,1.07875E-9,1.50815E-9,2.08502E-9,2.82107E-9,3.66659E-9
1.02329,537.251E-12,757.586E-12,1.06521E-9,1.48923E-9,2.05887E-9,2.78569E-9,3.62062E-9
1.04713,530.511E-12,748.082E-12,1.05185E-9,1.47055E-9,2.03304E-9,2.75076E-9,3.57523E-9
1.07152,523.856E-12,738.698E-12,1.03865E-9,1.45210E-9,2.00754E-9,2.71626E-9,3.53042E-9
1.09648,517.285E-12,729.433E-12,1.02563E-9,1.43389E-9,1.98237E-9,2.68221E-9,3.48617E-9
1.12202,510.797E-12,720.284E-12,1.01276E-9,1.41591E-9,1.95751E-9,2.64858E-9,3.44248E-9
1.14815,504.391E-12,711.251E-12,1.00006E-9,1.39815E-9,1.93296E-9,2.61538E-9,3.39935E-9
1.17490,498.066E-12,702.332E-12,987.522E-12,1.38062E-9,1.90873E-9,2.58259E-9,3.35676E-9
1.20226,491.821E-12,693.525E-12,975.140E-12,1.36331E-9,1.88480E-9,2.55022E-9,3.31470E-9
1.23027,485.654E-12,684.830E-12,962.915E-12,1.34622E-9,1.86117E-9,2.51826E-9,3.27318E-9
1.25893,479.566E-12,676.245E-12,950.843E-12,1.32934E-9,1.83785E-9,2.48671E-9,3.23219E-9
1.28825,473.554E-12,667.768E-12,938.925E-12,1.31268E-9,1.81481E-9,2.45555E-9,3.19171E-9
1.31826,467.619E-12,659.398E-12,927.157E-12,1.29623E-9,1.79207E-9,2.42479E-9,3.15174E-9
1.34896,461.758E-12,651.134E-12,915.537E-12,1.27999E-9,1.76962E-9,2.39441E-9,3.11228E-9
1.38038,455.972E-12,642.975E-12,904.065E-12,1.26395E-9,1.74745E-9,2.36442E-9,3.07332E-9
1.41254,450.258E-12,634.918E-12,892.737E-12,1.24811E-9,1.72556E-9,2.33481E-9,3.03485E-9
1.44544,444.617E-12,626.964E-12,881.553E-12,1.23248E-9,1.70394E-9,2.30557E-9,2.99687E-9
1.47911,439.047E-12,619.109E-12,870.510E-12,1.21704E-9,1.68260E-9,2.27670E-9,2.95937E-9
1.51356,433.548E-12,611.355E-12,859.606E-12,1.20180E-9,1.66153E-9,2.24820E-9,2.92234E-9
1.54882,428.118E-12,603.698E-12,848.841E-12,1.18675E-9,1.64073E-9,2.22006E-9,2.88578E-9
1.58489,422.756E-12,596.138E-12,838.211E-12,1.17189E-9,1.62018E-9,2.19227E-9,2.84969E-9
1.62181,417.463E-12,588.674E-12,827.716E-12,1.15722E-9,1.59990E-9,2.16484E-9,2.81405E-9
1.65959,412.236E-12,581.304E-12,817.354E-12,1.14273E-9,1.57988E-9,2.13775E-9,2.77886E-9
1.69824,407.076E-12,574.027E-12,807.123E-12,1.12843E-9,1.56011E-9,2.11101E-9,2.74412E-9
1.73780,401.981E-12,566.842E-12,797.021E-12,1.11430E-9,1.54059E-9,2.08460E-9,2.70982E-9
1.77828,396.950E-12,559.749E-12,787.048E-12,1.10036E-9,1.52131E-9,2.05853E-9,2.67595E-9
1.81970,391.983E-12,552.745E-12,777.200E-12,1.08659E-9,1.50228E-9,2.03279E-9,2.64252E-9
1.86209,387.079E-12,545.829E-12,767.477E-12,1.07300E-9,1.48349E-9,2.00738E-9,2.60950E-9
1.90546,382.237E-12,539.002E-12,757.877E-12,1.05958E-9,1.46494E-9,1.98228E-9,2.57691E-9
1.94984,377.456E-12,532.260E-12,748.399E-12,1.04633E-9,1.44663E-9,1.95751E-9,2.54473E-9
1.99526,372.736E-12,525.605E-12,739.040E-12,1.03325E-9,1.42854E-9,1.93305E-9,2.51295E-9
2.04174,368.076E-12,519.033E-12,729.801E-12,1.02033E-9,1.41069E-9,1.90890E-9,2.48158E-9
2.08930,363.474E-12,512.544E-12,720.678E-12,1.00758E-9,1.39306E-9,1.88505E-9,2.45061E-9
2.13796,358.931E-12,506.138E-12,711.671E-12,994.987E-12,1.37565E-9,1.86151E-9,2.42003E-9
2.18776,354.445E-12,499.813E-12,702.778E-12,982.555E-12,1.35847E-9,1.83826E-9,2.38984E-9
2.23872,350.017E-12,493.568E-12,693.997E-12,970.281E-12,1.34150E-9,1.81532E-9,2.36003E-9
2.29087,345.644E-12,487.403E-12,685.328E-12,958.162E-12,1.32475E-9,1.79266E-9,2.33060E-9
2.34423,341.327E-12,481.315E-12,676.769E-12,946.197E-12,1.30821E-9,1.77029E-9,2.30154E-9
2.39883,337.065E-12,475.305E-12,668.319E-12,934.383E-12,1.29188E-9,1.74820E-9,2.27286E-9
2.45471,332.856E-12,469.371E-12,659.975E-12,922.720E-12,1.27576E-9,1.72639E-9,2.24454E-9
2.51189,328.701E-12,463.512E-12,651.738E-12,911.204E-12,1.25984E-9,1.70486E-9,2.21657E-9
2.57040,324.599E-12,457.727E-12,643.605E-12,899.834E-12,1.24413E-9,1.68361E-9,2.18897E-9
2.63027,320.549E-12,452.016E-12,635.575E-12,888.609E-12,1.22861E-9,1.66262E-9,2.16171E-9
2.69153,316.550E-12,446.378E-12,627.647E-12,877.527E-12,1.21329E-9,1.64190E-9,2.13480E-9
2.75423,312.602E-12,440.810E-12,619.820E-12,866.585E-12,1.19817E-9,1.62145E-9,2.10823E-9
2.81838,308.704E-12,435.314E-12,612.092E-12,855.782E-12,1.18323E-9,1.60125E-9,2.08201E-9
2.88403,304.856E-12,429.888E-12,604.462E-12,845.116E-12,1.16849E-9,1.58131E-9,2.05611E-9
2.95121,301.056E-12,424.530E-12,596.930E-12,834.586E-12,1.15394E-9,1.56162E-9,2.03055E-9
3.01995,297.305E-12,419.241E-12,589.493E-12,824.189E-12,1.13957E-9,1.54219E-9,2.00531E-9
3.09030,293.602E-12,414.018E-12,582.150E-12,813.925E-12,1.12538E-9,1.52300E-9,1.98039E-9
3.16228,289.945E-12,408.862E-12,574.901E-12,803.791E-12,1.11137E-9,1.50406E-9,1.95579E-9
3.23594,286.335E-12,403.772E-12,567.744E-12,793.787E-12,1.09754E-9,1.48535E-9,1.93150E-9
3.31131,282.771E-12,398.747E-12,560.678E-12,783.909E-12,1.08389E-9,1.46689E-9,1.90752E-9
3.38844,279.253E-12,393.785E-12,553.702E-12,774.157E-12,1.07041E-9,1.44866E-9,1.88385E-9
3.46737,275.779E-12,388.886E-12,546.815E-12,764.530E-12,1.05710E-9,1.43066E-9,1.86048E-9
3.54813,272.349E-12,384.050E-12,540.016E-12,755.025E-12,1.04397E-9,1.41290E-9,1.83741E-9
3.63078,268.963E-12,379.276E-12,533.303E-12,745.641E-12,1.03100E-9,1.39535E-9,1.81464E-9
